"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"216","Tez Johnson (TB)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","38.0%"
"217","Xavier Restrepo (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5%"
"218","Jalen Royals (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"219","Da'Quan Felton (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","Tai Felton (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"221","Ricky White III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"222","Pat Bryant (DEN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.1%"
"223","Theo Wease Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Will Sheppard (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Nick Nash (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"226","Jimmy Horn Jr. (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"227","Traeshin Holden (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Konata Mumpfield (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"229","Jacksin Meeks (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Jamaal Pritchett (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Efton Chism III (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"232","Garrett Greene (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"233","Josh Kelly (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Jordan Watkins (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"235","LaJohntay Wester (BAL)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"236","A.T. Perry (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"237","Jacoby Jones (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"238","Brandon Johnson (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"239","Mitch Tinsley (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"240","KeAndre Lambert-Smith (LAC)","1","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"241","Britain Covey (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"242","Velus Jones Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"243","Dareke Young (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Danny Gray (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"245","Tim Jones (JAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"246","DJ Turner (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"247","Michael Bandy (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Brandon Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"249","Bo Melton (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.5%"
"250","Justin Shorter (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
"251","Xavier Weaver (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"252","Deven Thompkins (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"253","Jalen Tolbert (DAL)","2","1","0","0.0","0","0","0","0","0","0","0","1","0.0","0.0","1.9%"
