"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"91","Tyler Warren (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","82.0%"
"92","Treyton Welch (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"93","Neal Johnson (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Thomas Yassmin (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"95","Mason Pline (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Steven Stilianos (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.1%"
"98","Devin Culp (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"99","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"100","Brenden Bates (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Jack Westover (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"103","Johnny Lumpkin (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","Julian Hill (MIA)","0","2","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"105","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","E.J. Jenkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"107","Nate Adkins (DEN)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.0%"
"108","Blake Whiteheart (CLE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"109","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","Colston Loveland (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","78.5%"
"111","Mason Taylor (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.2%"
"112","Caden Prieskorn (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"113","Brevyn Spann-Ford (DAL)","0","1","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"114","Gavin Bartholomew (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"115","Bryson Nesbit (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"116","Oronde Gadsden II (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.9%"
