"Rank","Player","TGT","REC","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"176","George Kittle (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.8%"
"177","Jonnu Smith (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35.9%"
"178","Will Dissly (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"179","Tyree Jackson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","Foster Moreau (NO)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.2%"
"181","Ross Dwelley (DET)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"182","Durham Smythe (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"183","Jordan Akins (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"184","Noah Fant (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","4.2%"
"185","Tanner Hudson (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.3%"
"186","Chris Manhertz (NYG)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"187","Nick Vannett (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.5%"
"189","Tyler Higbee (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.6%"
"190","Austin Hooper (NE)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"191","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"194","Drew Sample (CIN)","1","1","-1","-1.0","0","0","0","0","0","0","0","1","-0.1","-0.1","1.0%"
""
""
