"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"50","DeAndre Hopkins (BAL)","56","80","610","10.9","35","6","5","0","0","0","0","16","91.0","5.7","14.9%"
"51","Rome Odunze (CHI)","54","101","734","13.6","47","8","3","3","15","0","1","17","90.9","5.3","87.2%"
"52","Marvin Mims Jr. (DEN)","39","52","503","12.9","93","7","6","13","42","0","0","17","90.5","5.3","40.4%"
"53","Wan'Dale Robinson (NYG)","93","140","699","7.5","35","4","3","3","18","0","0","17","89.7","5.3","19.3%"
"54","Allen Lazard (NYJ)","37","60","530","14.3","52","8","6","0","0","0","0","12","89.0","7.4","1.8%"
"55","Tank Dell (HOU)","51","81","667","13.1","50","9","3","9","43","0","0","14","89.0","6.4","3.9%"
"56","Chris Godwin (TB)","50","62","576","11.5","55","7","5","1","2","0","0","7","87.8","12.5","81.4%"
"57","Romeo Doubs (GB)","46","72","601","13.1","39","8","4","0","0","0","0","13","86.1","6.6","15.4%"
"58","Andrei Iosivas (CIN)","36","61","479","13.3","39","7","6","0","0","0","0","17","83.9","4.9","4.0%"
"59","Calvin Austin III (PIT)","36","58","548","15.2","55","10","4","0","0","0","1","17","82.8","4.9","6.8%"
"60","Keon Coleman (BUF)","29","57","556","19.2","64","12","4","1","9","0","0","13","82.5","6.3","65.1%"
"61","Tre Tucker (LV)","47","81","539","11.5","58","6","3","9","44","1","0","17","82.3","4.8","2.1%"
"62","DeMario Douglas (NE)","66","87","621","9.4","36","8","3","3","16","0","0","17","81.7","4.8","17.0%"
"63","Kayshon Boutte (NE)","43","68","589","13.7","48","11","3","0","0","0","0","15","78.9","5.3","3.8%"
"64","Amari Cooper (FA)","44","85","547","12.4","30","8","4","0","0","0","0","13","78.7","6.1","6.5%"
"65","Ray-Ray McCloud III (ATL)","62","87","686","11.1","60","8","1","10","79","0","2","17","78.5","4.6","2.6%"
"66","Michael Wilson (ARI)","47","71","548","11.7","41","10","4","1","7","0","1","16","77.5","4.8","7.0%"
"67","Christian Watson (GB)","29","53","620","21.4","60","12","2","4","23","0","1","15","76.3","5.1","5.5%"
"68","Xavier Legette (CAR)","49","84","497","10.1","35","7","4","6","24","0","0","16","76.1","4.8","25.9%"
