"Rank","Player","CMP","ATT","PCT","YDS","Y/A","TD","INT","SACKS","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"134","Easton Stick (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Trevor Siemian (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"136","Nate Sudfeld (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","C.J. Beathard (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"138","Jeff Driskel (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"139","Jake Browning (CIN)","0","0","0","0","0","0","0","0","2","-2","0","0","3","-0.2","-0.1","1.1%"
"140","Kyle Trask (TB)","1","1","100.0","5","5.0","0","0","0","5","-4","0","0","4","-0.2","-0.1","0.6%"
"141","Tyson Bagent (CHI)","2","2","100.0","11","5.5","0","0","0","6","-7","0","0","4","-0.3","-0.1","0.6%"
"142","Clayton Tune (ARI)","2","2","100.0","8","4.0","0","0","0","7","-4","0","1","6","-2.1","-0.4","1.0%"
""
""
