"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"89","DeeJay Dallas (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"90","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"91","Salvon Ahmed (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"92","A.J. Dillon (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"93","Darrynton Evans (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"94","Raheem Blackshear (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"95","Jaret Patterson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"96","Demetric Felton Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"97","Chris Rodriguez Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"98","Ashton Jeanty (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.4%"
"99","Jaylen Wright (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23.2%"
"100","Ollie Gordon II (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11.2%"
"101","Rasheen Ali (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"102","Frank Gore Jr. (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"103","Jonathon Brooks (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.6%"
"104","Isaiah Davis (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.0%"
"105","Chris Collier (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"107","Dante Miller (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"108","Jordan Waters (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Blake Watson (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"110","Tahj Brooks (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"111","Michael Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"112","Carson Steele (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"113","Emani Bailey (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"114","Jawhar Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Cody Schrader (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"116","Damien Martinez (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.4%"
"117","Elijah Dotson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Lew Nichols III (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.7%"
"119","Omarion Hampton (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.4%"
"120","Trevor Etienne (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.9%"
"121","Scott Matlock (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","17.0%"
"122","Kazmeir Allen (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"123","Hunter Luepke (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.7%"
"124","Owen Wright (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"125","Deneric Prince (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Zavier Scott (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"127","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"128","Ben VanSumeren (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","1.4%"
"129","Jacob Saylors (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Carlos Washington Jr. (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Ian Wheeler (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Quinshon Judkins (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76.7%"
"133","Lan Larison (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"134","Robbie Ouzts (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"135","Josh Williams (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Micah Bernard (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Tre Stewart (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Woody Marks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.2%"
"139","Ahmani Marshall (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Quali Conley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"141","Toa Taua (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Lucas Scott (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Max Hurleman (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"144","ShunDerrick Powell (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"145","Deion Hankins (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"146","Elijah Young (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Jacardia Wright (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"148","Brock Lampe (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Kayron Lynch-Adams (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Jalen White (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Kye Robichaux (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Anthony Tyus III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"153","Amar Johnson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Nathan Carter (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Montrell Johnson Jr. (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"156","Kaleb Johnson (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","87.1%"
"157","RJ Harvey (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.3%"
"158","Kyle Monangai (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.1%"
"159","Dylan Sampson (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28.8%"
"160","DJ Giddens (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.6%"
"161","Kalel Mullings (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"162","Brashard Smith (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.2%"
"163","British Brooks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Cam Skattebo (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.4%"
"165","Nate Noel (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","LeQuint Allen Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"167","Jacory Croskey-Merritt (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27.7%"
"168","Jordan James (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.7%"
"169","Bhayshul Tuten (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34.5%"
"170","Marcus Yarns (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"171","Phil Mafah (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.3%"
"172","Avery Williams (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.6%"
"173","Kene Nwangwu (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"175","Ja'Quinden Jackson (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"176","Keaontay Ingram (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Gary Brightwell (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Adam Prentice (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","De'Von Achane (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.3%"
"180","Tyrion Davis-Price (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Donovan Edwards (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"182","Blake Corum (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.1%"
"183","Deuce Vaughn (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"184","Kendall Milton (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"185","James Cook (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.4%"
"186","Lawrance Toafili (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"187","Jashaun Corbin (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Will Shipley (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","11.3%"
"189","MarShawn Lloyd (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.4%"
"190","Kevin Harris (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"191","Ulysses Bentley IV (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","TreVeyon Henderson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.7%"
"193","Kyren Williams (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","98.9%"
"194","Chris Tyree (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"195","Devin Neal (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.3%"
"196","Zonovan Knight (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Brittain Brown (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"198","Evan Hull (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"199","Keaton Mitchell (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.5%"
"200","Xazavian Valladay (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"201","Kenny McIntosh (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"202","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"203","Ronnie Rivers (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.1%"
"204","Rachaad White (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.2%"
"205","Tyler Badie (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"206","Velus Jones Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"207","Jabari Small (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"208","Kendre Miller (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.9%"
"209","Israel Abanikanda (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.7%"
"210","Raheim Sanders (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"211","Jaydon Blue (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.4%"
"212","Nay'Quan Wright (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Jarquez Hunter (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.0%"
"214","Isiah Pacheco (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","91.6%"
"215","Jakob Johnson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Willie Carter (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Andrew Beck (NYJ)","0","0","0","0","0","0","0","1","0","0","0","0","1","0.0","0.0","0.0%"
"220","Kenny Irons (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Chad Simpson (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Anthony Alridge (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Dantrell Savage (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Xavier Omon (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"225","Garrett Mills (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Madison Hedgecock (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"227","Samkon Gado (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"228","Tim Flanders (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Patrick Ricard (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.8%"
"230","Nyheim Miller-Hines (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Myles Gaskin (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"232","Nick Chubb (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.1%"
"233","Royce Freeman (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Kareem Hunt (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16.8%"
"235","Samaje Perine (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"236","Christian McCaffrey (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99.5%"
"237","Taquan Mizzell (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Aaron Jones Sr. (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.7%"
"239","Devin Singletary (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","2.4%"
"240","Alec Ingold (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"241","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"242","Travis Homer (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"243","Trayveon Williams (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"244","Mike Boone (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"245","Jeff Wilson Jr. (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
